0,1,2,3,4,word,summary
35977.863313407455,2.860498546900126,0.0005912558902145815,-0.006274620607929077,-0.003217162670989303,summaryOfAllWords,31501.337741831972
-3.956013516642086,0.15146934908634813,0.7178340671904616,0.9830304877139736,-0.03262945362367539,Bedrohter,2.4696828076143142
2.6619257623526806,-6.066446045887925,1.4616366923409236,2.5491900900767552,-0.45793692314373446,Permafrost,11.292842379306716
-3.6944561591683485,-0.21255859179849823,0.8649591004500394,1.2592627862994192,-0.07528923763692667,bedroh+t+er permafrost,2.8803238742133352
-3.976669097366734,0.18052542801722926,0.7020993775760687,0.9548876242166917,-0.02896242982764808,Eisige,2.436938601654324
-3.976669097366734,0.18052542801722926,0.7020993775760687,0.9548876242166917,-0.02896242982764808,permafrost eisig+e,2.436938601654324
-4.027521955783191,0.25174200257420765,0.659567836641886,0.879952022046793,-0.019754920500309907,Reaktion,2.3563246213193705
-4.027521955783191,0.25174200257420765,0.659567836641886,0.879952022046793,-0.019754920500309907,eisig+e reaktion,2.3563246213193705
-4.0810495795781625,0.3256449700521007,0.6078684051589216,0.7908993532772626,-0.009810937827477897,verheerende,2.271702629658486
-4.0810495795781625,0.3256449700521007,0.6078684051589216,0.7908993532772626,-0.009810937827477897,reaktion verheerend+e,2.271702629658486
-4.110836982694494,0.36593692454850624,0.5753785480872892,0.7359622319308022,-0.004183907419804766,Wirkung,2.224864515388437
-4.110836982694494,0.36593692454850624,0.5753785480872892,0.7359622319308022,-0.004183907419804766,verheerend+e wirkung,2.224864515388437
-3.426291875255673,-0.5666554196561344,0.958414914294516,1.4497273590874211,-0.11252343636994411,Eis,3.2897746183773524
-3.976669097366734,0.18052542801722926,0.7020993775760687,0.9548876242166917,-0.02896242982764808,wirkung eis,2.436938601654324
-4.1317909282186145,0.3937629777593783,0.5506695705869733,0.6946659633887577,-0.00019513513029307053,hilft,2.1920914081835043
-4.1317909282186145,0.3937629777593783,0.5506695705869733,0.6946659633887577,-0.00019513513029307053,eis helf+t,2.1920914081835043
-4.141516089898637,0.40650061094438006,0.5386323759485786,0.6746911604583569,0.0016626054659251675,Metalle,2.1769432961314763
-4.141516089898637,0.40650061094438006,0.5386323759485786,0.6746911604583569,0.0016626054659251675,helf+t metall+e,2.1769432961314763
-4.155303065774378,0.42433690843585126,0.5209062223108758,0.6454390821537533,0.004301293064250325,Gestein,2.155548684353808
-4.155303065774378,0.42433690843585126,0.5209062223108758,0.6454390821537533,0.004301293064250325,metall+e gestein,2.155548684353808
-0.6708690801218511,-1.6948660081120017,-0.679610681631406,0.8049191996589734,-0.22967054677582122,lösen,6.1882882020964285
-4.165622252770258,0.437498405532347,0.507104115317287,0.6227923773907321,0.00627883035256677,gestein lös+en,2.1396049034623648
-2.52212027052766,-0.5209485922638464,-0.41432923224916185,0.5451731587956372,-0.15231786772810413,Besonders,4.009297393140709
-4.178561313673477,0.4537465543725303,0.4891133712561514,0.5934368008765943,0.008759566817675587,wirkungsvoll,2.1197087840582807
-4.178561313673477,0.4537465543725303,0.4891133712561514,0.5934368008765943,0.008759566817675587,besonders wirkungsvoll,2.1197087840582807
-4.1736012037268875,0.4475532778016267,0.4961025876892373,0.6048195423301858,0.0078085785685489024,geschieht,2.1273224916365754
-4.1736012037268875,0.4475532778016267,0.4961025876892373,0.6048195423301858,0.0078085785685489024,wirkungsvoll gescheh+t,2.1273224916365754
-4.152139842942841,0.42026905246072044,0.5250439599486407,0.6522502445895838,0.003695465347171599,gescheh+t eis,2.1604484203353294
-4.147644346760448,0.4144624196810265,0.5308512738172524,0.6618270816760708,0.0028348734905301425,wiederholt,2.1674211754450536
-4.147644346760448,0.4144624196810265,0.5308512738172524,0.6618270816760708,0.0028348734905301425,eis wiederholt,2.1674211754450536
-4.133273650765206,0.39571277060208865,0.5488584623556197,0.6916547094236553,8.787146366466547e-05,einfriert,2.189779101856797
-4.133273650765206,0.39571277060208865,0.5488584623556197,0.6916547094236553,8.787146366466547e-05,wiederholt einfrier+t,2.189779101856797
-4.108766592166823,0.3631621332129662,0.5777334013714923,0.7399191981954446,-0.00457679967899015,auftaut,2.228111494619885
-4.108766592166823,0.3631621332129662,0.5777334013714923,0.7399191981954446,-0.00457679967899015,einfrier+t auf+tau+t,2.228111494619885
6.4519546998771276,-5.334187206833298,0.46415625084174716,0.24686303987395974,-0.08089039106123755,Das,14.214154117844103
-2.078192364764877,-0.8460510647956541,-0.044575104417166285,1.1060580575741128,-0.22056018926092957,Folgen,4.5695482213620435
-2.891996261609963,-0.2857370058306299,-0.05331607331903122,0.784606769114117,0.02086673281614391,der folge+n,3.5854931419913654
-3.174983133474051,-0.8789548726314143,1.0201198722278157,1.5830756043646697,-0.14275727598983973,Permafrostböden,3.6629987856763693
-3.6944561591683485,-0.21255859179849823,0.8649591004500394,1.2592627862994192,-0.07528923763692667,folge+n permafrostböde+n,2.8803238742133352
-4.071371115431189,0.31240344350141425,0.6178161223420194,0.8078728761442595,-0.01162611100604902,guter,2.286969060977134
-4.071371115431189,0.31240344350141425,0.6178161223420194,0.8078728761442595,-0.01162611100604902,eis gut+er,2.286969060977134
-4.089670384380982,0.33738234227071384,0.5987641568745226,0.7754290785760728,-0.008188409327814197,Katalysator,2.2581222799202
-4.089670384380982,0.33738234227071384,0.5987641568745226,0.7754290785760728,-0.008188409327814197,gut+er katalysator,2.2581222799202
-4.123830821561021,0.38325014155905457,0.5602482577821128,0.7106271773772047,-0.0017128886513571792,Eisen,2.204521226303186
