keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Erdrutsch Zerstörung',0.09779150222185379,1.0383096332895039,-0.5259850347660876,0.06695341629891523,6.0
'Erdrutsch',0.01912039291734391,0.9468311712029321,0.19085332308517014,1.065528222756923,138.0
'Erdrutsch’,0.4003938182081592,0.013926609864167258,0.17135913321906063,1.3153066484590075,3.0
'Felsbrocken',0.11186692960644219,0.8756407400769365,0.23024858981222873,1.0665899391366267,26.0
'Felssturz',-0.4152936144764096,0.8685304670310169,-0.24990984391863372,0.9507664097626902,20.0
'Lawine Tod',0.23826024217678596,0.545633182293201,-0.473766158724672,0.02619898306761614,3.0
'Lawine',-0.16664412175250737,0.9090612964385245,-0.23319382355735735,0.7928711554947541,80.0
'Massenbewegung',-0.5598428944336179,0.841255747749221,0.5773502691896263,1.0,2.0
'Neuschnee Lawine',-0.6450312046354459,1.0888822739284199,-0.6528859285352001,0.261748555895389,3.0
'Neuschnee',-0.12280899688683045,0.5443388976195375,-0.29107192548347643,0.6447778828582654,9.0
'Permafrost',0.35866004771445176,0.7995173339078945,-0.09995979707812294,0.7925479212636874,21.0
'Schlammlawine',-0.31247237686634255,1.1706980557705584,0.2825291064848504,1.1295055595142585,8.0
'Starkregen Hang',1.6916034030667524,1.1759747045305025,-0.0535545729735355,0.6089063139502039,2.0
'Steinschlag Tod',1.391779005979367,1.1162434215707462,-0.5240310651344255,0.12443211674912605,6.0
'Steinschlag Zaun',-0.29467129319576424,1.0,,1.0,1.0
'Steinschlag',0.2608618513792173,0.8161882971221058,0.47140864234806223,1.0514507892849918,11.0
'Verbauung Sicherheit',-0.19608140923716963,1.3182839837443603,-0.3984047094678178,0.28856068912181176,8.0
