,summary,Hazard,Causes,Impacts,Adaptation,word
philippinen panik,4.598008746209647,0.1582151323467128,-0.8978339948052959,0.2791074028493841,-0.6769723222734855,philippinen panik
Erdrutsche,23.123635625187298,0.284010131220536,-2.513065947955179,0.34137815281286327,-2.2922042754233685,Erdrutsche
panik erd+rutsch+e,12.057433223140219,0.2563446190179513,-1.861892001033711,0.32818828182077914,-1.6410303285019003,panik erd+rutsch+e
überall,7.076245574480138,0.17698168170723655,-0.9098986331827102,0.2772275134294439,-1.108092474721206,überall
erd+rutsch+e überall,6.8514535050819525,0.20926434238327274,-1.2966714865769802,0.30951017410548,-1.07580981404517,erd+rutsch+e überall
Trümmer,6.102198638585192,0.19633212591580881,-1.1808598050831642,0.3026409226770181,-0.9599981325513537,Trümmer
überall trümmer,6.102198638585192,0.19633212591580881,-1.1808598050831642,0.3026409226770181,-0.9599981325513537,überall trümmer
Auf,5.474718009005972,0.12422638031821176,-0.7577217902557564,0.3043645166197671,-0.8514897629290853,Auf
trümmer auf,4.870228231354169,0.16680528393783384,-0.9553514670399881,0.2847999187235309,-0.7344897945081776,trümmer auf
auf philippinen,4.860017053101871,0.16650002563656305,-0.9532526130641027,0.28460127714580996,-0.732390940532292,auf philippinen
bebt,4.301580644437104,0.1476518918504035,-0.8311932131729467,0.2718252692109353,-0.6103315406411361,bebt
philippinen beb+t,4.301580644437104,0.1476518918504035,-0.8311932131729467,0.2718252692109353,-0.6103315406411361,philippinen beb+t
Erde,4.133753264383732,0.14101151081314925,-0.7913964412933641,0.26709500032605904,-0.5705347687615537,Erde
beb+t erde,4.133753264383732,0.14101151081314925,-0.7913964412933641,0.26709500032605904,-0.5705347687615537,beb+t erde
Zahl,5.168263619508584,0.17519706560986353,-1.0147474414353264,0.29015200525929125,-0.7938857689035158,Zahl
erde zahl,3.9178458542027386,0.13164318661111094,-0.7377526420571384,0.26022935790374685,-0.5168909695253278,erde zahl
Toten,6.960224375067549,0.06835208777793277,-0.5663227272224847,0.3359223558941848,-1.0915607053811112,Toten
zahl tot+en,5.0837184469601295,0.17291376717664894,-0.9982536378625515,0.28871681246444125,-0.7773919653307412,zahl tot+en
steigt,4.277817263845886,0.14674284684845876,-0.8256535607135048,0.2711845389255089,-0.6047918881816942,steigt
tot+en steig+t,4.277817263845886,0.14674284684845876,-0.8256535607135048,0.2711845389255089,-0.6047918881816942,tot+en steig+t
Vor,3.680818089821519,0.12010433564316128,-0.6753457007801718,0.2514757280064225,-0.45448402824836154,Vor
Krankenhäusern,3.649407582542126,0.1184633441400002,-0.6667755145576476,0.2502049589561569,-0.4459138420258371,Krankenhäusern
vor krank+en+haus+ern,3.649407582542126,0.1184633441400002,-0.6667755145576476,0.2502049589561569,-0.4459138420258371,vor krank+en+haus+ern
reihen,3.6010986394696265,0.11588380652396549,-0.6534496428244535,0.24819461303715282,-0.43258797029264295,reihen
krank+en+haus+ern reih+en,3.6010986394696265,0.11588380652396549,-0.6534496428244535,0.24819461303715282,-0.43258797029264295,krank+en+haus+ern reih+en
Leichensäcke,3.184131849856649,0.09036038275597727,-0.5303903435447762,0.22748844690329448,-0.30952867101296583,Leichensäcke
reih+en leiche+n+sack+e,3.184131849856649,0.09036038275597727,-0.5303903435447762,0.22748844690329448,-0.30952867101296583,reih+en leiche+n+sack+e
gibt,4.689627377183012,0.1612150177747422,-0.9175637950969614,0.28111931118831635,-0.6967021225651511,gibt
Vermisste,3.159907672471418,0.08866926191892525,-0.5227534758888016,0.2260657959842362,-0.30189180335699106,Vermisste
geb+t vermiss+t+e,2.1922915810780275,-0.01034764589592666,-0.1571580470932703,0.1327232588665289,0.06370362543854015,geb+t vermiss+t+e
Naturkatastrophe,2.1786530852764256,-0.012398806119583279,-0.15091750135107007,0.1305905871298736,0.06994417118074038,Naturkatastrophe
natur+katastrophe philippinen,2.1520732906373707,-0.016475043927898073,-0.1386423649963963,0.12632909840842943,0.08221930753541432,natur+katastrophe philippinen
Ein,13.73173004481187,0.25381355501116765,-1.503169001547068,0.2904109764168892,-1.7710582103197563,Ein
philippinen ein,2.1401877312281323,-0.01833237250080262,-0.13310421634827607,0.12437710624479952,0.08775745618353464,philippinen ein
schweres,3.632287310646788,0.1175570090284082,-0.6620732292538338,0.2495003866935691,-0.4412115567220233,schweres
ein schwer+es,3.632287310646788,0.1175570090284082,-0.6620732292538338,0.2495003866935691,-0.4412115567220233,ein schwer+es
südostasiatischen,2.6954642712364123,0.05026751676311965,-0.3637811271438825,0.19215531596305122,-0.14291945461207192,südostasiatischen
erdbeben südostasiatisch+en,2.114459037684065,-0.02242853688159952,-0.12100967192696428,0.12004950497235206,0.09985200060484607,erdbeben südostasiatisch+en
Inselstaat,2.102544342451619,-0.024361361934020956,-0.11535886927732404,0.11799665157423994,0.1055028032544865,Inselstaat
südostasiatisch+en insel+staat,2.102544342451619,-0.024361361934020956,-0.11535886927732404,0.11799665157423994,0.1055028032544865,südostasiatisch+en insel+staat
mindestens,5.779755141452674,0.18978044231900973,-1.1265719850056328,0.29892901199034444,-0.9057103124738224,mindestens
insel+staat mindestens,2.0958559744671676,-0.025456559439925402,-0.11217271591523556,0.11683036447270531,0.10868895661657478,insel+staat mindestens
mindestens mensch+en,5.226788073527684,0.17673560879454436,-1.0260076206270476,0.29111002190819585,-0.8051459480952371,mindestens mensch+en
Leben,7.904628643295338,0.12381052075834442,-0.48817751224664685,0.22133611768205214,-1.2187974858700634,Leben
mensch+en leben,3.9636907448527507,0.13371685587696563,-0.7493862637833151,0.2617680487275462,-0.5285245912515046,mensch+en leben
gekostet,3.1446388655682194,0.08758980435544014,-0.5179097217300961,0.225154496355158,-0.2970480491982855,gekostet
leben ge+kost+et,3.1446388655682194,0.08758980435544014,-0.5179097217300961,0.225154496355158,-0.2970480491982855,leben ge+kost+et
der zahl,2.6963630850472247,0.050354893266871405,-0.36411452573391345,0.19223586788218877,-0.14325285320210318,der zahl
steigen,2.6456170125045864,0.04532618112915068,-0.3451149794440206,0.1875753807382541,-0.12425330691221008,steigen
tot+en steig+en,2.6456170125045864,0.04532618112915068,-0.3451149794440206,0.1875753807382541,-0.12425330691221008,tot+en steig+en
hoffe,2.629665313101468,0.04370419671523913,-0.3390672470050572,0.18606154551308246,-0.1182055744732466,hoffe
